Oraș,Cartier,Tip,Suprafață (mp),Nr. camere,Etaj,An construcție,Preț (EUR),Preț/mp (EUR)
Cluj-Napoca,Andrei Mureșanu,Apartament,95,3,6.0,1973.0,254000,2676
Cluj-Napoca,Andrei Mureșanu,Apartament,94,3,7.0,2015.0,286000,3044
București,Berceni,Apartament,30,1,3.0,2021.0,49000,1619
Cluj-Napoca,Dâmbul Rotund,Apartament,66,1,4.0,2008.0,114000,1731
Cluj-Napoca,Grigorescu,Apartament,63,2,9.0,1961.0,122000,1931
Cluj-Napoca,Centru,Apartament,72,2,9.0,2019.0,256000,3557
Cluj-Napoca,Centru,Apartament,87,3,3.0,2013.0,333000,3832
Cluj-Napoca,Grigorescu,Apartament,115,3,6.0,2020.0,280000,2439
Cluj-Napoca,Grigorescu,Apartament,52,3,5.0,1995.0,119000,2280
Cluj-Napoca,Dâmbul Rotund,Apartament,108,1,5.0,2013.0,226000,2095
Cluj-Napoca,Centru,Apartament,62,4,6.0,2005.0,193000,3116
București,Dorobanți,Casă,146,5,,2004.0,375000,2571
Cluj-Napoca,Florești,Apartament,46,2,5.0,2015.0,105000,2291
București,Drumul Taberei,Apartament,74,2,3.0,2023.0,127000,1714
Cluj-Napoca,Borhanci,Casă,174,5,,2012.0,546000,3137
București,Militari,Apartament,88,3,6.0,2000.0,119000,1357
București,Dorobanți,Apartament,50,3,10.0,1991.0,131000,2629
București,Aviației,Apartament,77,1,4.0,2013.0,238000,3095
Cluj-Napoca,Gheorgheni,Apartament,94,1,5.0,1966.0,188000,2005
București,Pipera,Apartament,51,3,7.0,1989.0,104000,2048
București,Titan,Apartament,60,2,5.0,2004.0,91000,1510
Cluj-Napoca,Andrei Mureșanu,Apartament,49,2,9.0,1999.0,134000,2741
Cluj-Napoca,Dâmbul Rotund,Apartament,64,1,10.0,1968.0,86000,1343
București,Militari,Apartament,74,2,1.0,2014.0,114000,1544
Cluj-Napoca,Gheorgheni,Apartament,54,3,1.0,1987.0,122000,2268
Cluj-Napoca,Gheorgheni,Apartament,45,2,0.0,1978.0,93000,2056
București,Ilfov / Voluntari,Apartament,100,2,1.0,1965.0,144000,1444
Cluj-Napoca,Zorilor,Apartament,63,1,6.0,1935.0,151000,2401
Cluj-Napoca,Mănăștur,Apartament,91,3,1.0,2011.0,204000,2245
București,Floreasca,Casă,204,4,,1964.0,472000,2314
Cluj-Napoca,Bună Ziua,Casă,122,3,,1984.0,271000,2222
Cluj-Napoca,Gheorgheni,Apartament,59,2,6.0,2014.0,160000,2718
Cluj-Napoca,Borhanci,Casă,111,3,,,298000,2689
București,Aviației,Apartament,69,2,3.0,2015.0,191000,2762
București,Berceni,Apartament,70,4,2.0,1973.0,95000,1354
Cluj-Napoca,Bună Ziua,Casă,195,5,,,533000,2734
Cluj-Napoca,Gheorgheni,Apartament,28,2,1.0,1975.0,65000,2316
București,Drumul Taberei,Apartament,86,4,6.0,2020.0,149000,1735
București,Floreasca,Apartament,100,2,4.0,2012.0,318000,3184
București,Berceni,Apartament,73,2,5.0,2004.0,84000,1148
Cluj-Napoca,Bună Ziua,Apartament,63,3,4.0,1946.0,143000,2266
Cluj-Napoca,Andrei Mureșanu,Casă,142,3,,,486000,3421
București,Berceni,Apartament,28,2,6.0,1994.0,38000,1340
Cluj-Napoca,Bună Ziua,Casă,107,4,,1964.0,227000,2124
Cluj-Napoca,Borhanci,Casă,139,5,,1987.0,311000,2241
Cluj-Napoca,Gheorgheni,Apartament,84,1,7.0,2022.0,234000,2781
Cluj-Napoca,Bună Ziua,Casă,197,3,,1973.0,431000,2187
București,Floreasca,Apartament,82,3,10.0,1966.0,169000,2063
Cluj-Napoca,Dâmbul Rotund,Apartament,43,3,0.0,2020.0,71000,1662
București,Berceni,Apartament,115,2,6.0,1955.0,134000,1167
Cluj-Napoca,Centru,Apartament,92,1,8.0,2019.0,325000,3531
București,Victoriei,Apartament,58,3,10.0,2010.0,114000,1964
București,Victoriei,Apartament,123,2,0.0,1959.0,192000,1561
București,Ilfov / Voluntari,Casă,166,3,,2017.0,327000,1968
Cluj-Napoca,Andrei Mureșanu,Casă,176,5,,1983.0,453000,2576
Cluj-Napoca,Dâmbul Rotund,Apartament,74,2,9.0,1995.0,119000,1609
București,Titan,Apartament,103,2,5.0,2010.0,159000,1544
București,Dorobanți,Apartament,49,3,,1997.0,121000,2462
București,Berceni,Apartament,62,3,9.0,2006.0,79000,1276
Cluj-Napoca,Borhanci,Casă,149,3,,1977.0,323000,2169
Cluj-Napoca,Florești,Apartament,74,3,8.0,1950.0,115000,1549
Cluj-Napoca,Gheorgheni,Apartament,79,4,,1973.0,153000,1942
București,Pipera,Apartament,91,2,6.0,1995.0,198000,2178
Cluj-Napoca,Mănăștur,Apartament,108,4,2.0,1990.0,196000,1811
București,Pipera,Casă,170,6,,1932.0,342000,2012
Cluj-Napoca,Centru,Apartament,92,2,1.0,2011.0,333000,3621
București,Băneasa,Apartament,53,3,0.0,1967.0,90000,1698
Cluj-Napoca,Zorilor,Apartament,96,3,3.0,1976.0,250000,2605
Cluj-Napoca,Centru,Apartament,76,2,7.0,2005.0,250000,3293
Cluj-Napoca,Grigorescu,Apartament,54,2,10.0,2022.0,133000,2468
Cluj-Napoca,Mănăștur,Apartament,73,2,9.0,1992.0,121000,1656
București,Militari,Apartament,32,2,5.0,1993.0,47000,1472
Cluj-Napoca,Zorilor,Casă,156,4,,1997.0,397000,2544
București,Militari,Apartament,101,2,1.0,1990.0,134000,1326
Cluj-Napoca,Florești,Casă,177,4,,2012.0,392000,2213
București,Berceni,Apartament,65,3,9.0,1994.0,80000,1232
București,Ilfov / Voluntari,Apartament,91,1,10.0,1966.0,123000,1347
Cluj-Napoca,Bună Ziua,Casă,127,4,,1976.0,287000,2258
Cluj-Napoca,Andrei Mureșanu,Apartament,28,2,9.0,1974.0,70000,2498
București,Militari,Apartament,28,3,8.0,1962.0,35000,1247
București,Victoriei,Apartament,85,3,2.0,1934.0,167000,1959
București,Dorobanți,Apartament,87,3,,1964.0,225000,2588
Cluj-Napoca,Gheorgheni,Apartament,45,2,5.0,1982.0,337765,7506
București,Ilfov / Voluntari,Casă,149,5,,2015.0,305000,2048
Cluj-Napoca,Bună Ziua,Apartament,81,1,9.0,1977.0,160000,1971
Cluj-Napoca,Andrei Mureșanu,Casă,153,4,,2000.0,421000,2754
Cluj-Napoca,Grigorescu,Apartament,50,3,1.0,1933.0,110000,2195
Cluj-Napoca,Centru,Apartament,63,1,5.0,1968.0,174000,2754
Cluj-Napoca,Bună Ziua,Apartament,45,2,2.0,1980.0,89000,1975
Cluj-Napoca,Andrei Mureșanu,Apartament,65,2,4.0,2020.0,233000,3588
București,Victoriei,Apartament,64,2,5.0,1930.0,108000,1690
Cluj-Napoca,Mănăștur,Apartament,83,2,0.0,1992.0,135000,1627
București,Ilfov / Voluntari,Apartament,63,3,10.0,1995.0,100000,1590
Cluj-Napoca,Centru,Apartament,33,3,2.0,1995.0,108000,3275
București,Băneasa,Casă,189,3,,2008.0,457000,2420
București,Ilfov / Voluntari,Apartament,28,1,,1980.0,41000,1474
București,Băneasa,Apartament,66,4,10.0,,133000,2009
Cluj-Napoca,Gheorgheni,Apartament,69,1,1.0,1993.0,171000,2474
București,Pipera,Apartament,65,2,1.0,2007.0,149000,2293
București,Floreasca,Casă,209,4,,2017.0,667000,3190
București,Băneasa,Casă,137,3,,2015.0,358000,2611
București,Titan,Apartament,108,3,9.0,1982.0,140000,1294
Cluj-Napoca,Zorilor,Casă,175,5,,1987.0,442000,2523
București,Pipera,Casă,202,3,,2008.0,491000,2431
București,Drumul Taberei,Apartament,51,2,7.0,1974.0,66000,1296
București,Dorobanți,Apartament,79,3,5.0,1992.0,215000,2724
București,Drumul Taberei,Apartament,50,3,8.0,1969.0,66000,1319
București,Titan,Apartament,117,3,1.0,1962.0,156000,1335
București,Ilfov / Voluntari,Casă,92,4,,1987.0,130000,1408
Cluj-Napoca,Gheorgheni,Apartament,123,3,3.0,1939.0,297000,2418
București,Drumul Taberei,Apartament,102,1,8.0,1986.0,464188,4551
București,Berceni,Apartament,86,2,5.0,2009.0,115000,1336
București,Victoriei,Apartament,69,3,1.0,1974.0,138000,1995
Cluj-Napoca,Andrei Mureșanu,Casă,144,6,,2015.0,473000,3288
București,Berceni,Apartament,45,3,3.0,1987.0,54000,1191
Cluj-Napoca,Zorilor,Apartament,65,3,2.0,1984.0,158000,2424
Cluj-Napoca,Zorilor,Casă,156,5,,2011.0,476000,3049
București,Berceni,Apartament,101,1,6.0,1991.0,136000,1351
Cluj-Napoca,Zorilor,Casă,180,5,,2024.0,606000,3365
Cluj-Napoca,Andrei Mureșanu,Apartament,58,2,2.0,2022.0,197000,3389
Cluj-Napoca,Gheorgheni,Apartament,55,1,7.0,1960.0,112000,2034
București,Militari,Apartament,57,4,2.0,1993.0,81000,1421
Cluj-Napoca,Gheorgheni,Apartament,65,1,8.0,1961.0,135000,2076
Cluj-Napoca,Dâmbul Rotund,Apartament,68,2,1.0,2023.0,143000,2109
Cluj-Napoca,Bună Ziua,Casă,108,4,,1976.0,256000,2373
Cluj-Napoca,Mănăștur,Apartament,58,2,2.0,1991.0,122000,2108
București,Militari,Apartament,73,2,10.0,1972.0,92000,1257
Cluj-Napoca,Bună Ziua,Casă,126,4,,1993.0,274000,2176
Cluj-Napoca,Andrei Mureșanu,Apartament,80,2,5.0,1962.0,227000,2839
București,Aviației,Apartament,69,1,9.0,1951.0,139000,2012
Cluj-Napoca,Centru,Apartament,71,2,6.0,1969.0,197000,2778
Cluj-Napoca,Zorilor,Apartament,41,3,6.0,2002.0,106000,2575
București,Băneasa,Apartament,76,1,7.0,2016.0,200000,2626
București,Băneasa,Apartament,28,2,1.0,1962.0,64000,2275
Cluj-Napoca,Borhanci,Casă,122,3,,2015.0,374000,3065
București,Pantelimon,Apartament,84,1,,1951.0,94000,1115
București,Dorobanți,Casă,137,3,,2021.0,404000,2951
Cluj-Napoca,Bună Ziua,Apartament,69,3,7.0,2021.0,197000,2859
București,Pipera,Apartament,99,3,3.0,2009.0,219000,2216
Cluj-Napoca,Mănăștur,Apartament,83,2,3.0,2010.0,178000,2148
Cluj-Napoca,Centru,Apartament,63,2,8.0,1985.0,184000,2914
București,Pipera,Apartament,94,2,10.0,2004.0,189000,2012
București,Pipera,Apartament,53,3,7.0,2010.0,141000,2663
București,Floreasca,Apartament,114,2,1.0,1948.0,255000,2241
București,Aviației,Apartament,85,3,10.0,1974.0,186000,2184
București,Floreasca,Casă,171,5,,2015.0,540000,3157
București,Aviației,Apartament,44,2,2.0,1980.0,104000,2362
Cluj-Napoca,Centru,Apartament,84,3,4.0,1979.0,249000,2970
Cluj-Napoca,Borhanci,Casă,187,4,,1985.0,489000,2616
Cluj-Napoca,Bună Ziua,Casă,124,3,,1984.0,270000,2178
București,Aviației,Apartament,59,2,10.0,2006.0,146000,2475
Cluj-Napoca,Grigorescu,Apartament,110,3,3.0,2019.0,306000,2785
Cluj-Napoca,Mănăștur,Apartament,62,3,6.0,2021.0,132000,2122
Cluj-Napoca,Centru,Apartament,40,3,4.0,2021.0,157000,3920
Cluj-Napoca,Florești,Casă,132,5,,1960.0,242000,1835
Cluj-Napoca,Bună Ziua,Apartament,67,2,10.0,1971.0,134000,1997
Cluj-Napoca,Andrei Mureșanu,Casă,175,6,,2012.0,511000,2922
București,Dorobanți,Casă,210,6,,1965.0,511000,2433
București,Băneasa,Casă,88,4,,1989.0,172000,1955
București,Băneasa,Casă,185,6,,2011.0,519000,2803
Cluj-Napoca,Dâmbul Rotund,Apartament,86,3,6.0,2010.0,181000,2107
București,Victoriei,Apartament,51,1,0.0,2005.0,106000,2076
Cluj-Napoca,Florești,Casă,180,5,,2023.0,463000,2570
București,Drumul Taberei,Apartament,71,4,6.0,1998.0,101000,1416
Cluj-Napoca,Dâmbul Rotund,Apartament,61,4,1.0,1977.0,87000,1421
Cluj-Napoca,Gheorgheni,Apartament,69,4,6.0,1980.0,138000,1996
Cluj-Napoca,Centru,Apartament,42,4,2.0,2000.0,127000,3034
București,Aviației,Apartament,73,2,0.0,1995.0,178000,2443
Cluj-Napoca,Andrei Mureșanu,Apartament,66,2,7.0,2013.0,197000,2978
București,Ilfov / Voluntari,Casă,141,6,,1974.0,194000,1375
Cluj-Napoca,Andrei Mureșanu,Apartament,82,2,4.0,1971.0,209000,2553
Cluj-Napoca,Centru,Apartament,28,3,10.0,1982.0,80000,2864
Cluj-Napoca,Florești,Casă,152,4,,1995.0,295000,1939
Cluj-Napoca,Centru,Apartament,103,2,1.0,1996.0,975142,9467
București,Dorobanți,Apartament,55,4,2.0,1971.0,137000,2487
București,Militari,Apartament,44,2,9.0,,58000,1328
București,Pantelimon,Casă,226,4,,1993.0,305000,1351
Cluj-Napoca,Borhanci,Casă,153,6,,1980.0,340000,2222
București,Drumul Taberei,Apartament,57,2,10.0,1959.0,63000,1112
București,Floreasca,Casă,126,3,,2004.0,347000,2755
Cluj-Napoca,Grigorescu,Apartament,75,1,4.0,1981.0,142000,1895
Cluj-Napoca,Zorilor,Apartament,34,3,3.0,2003.0,93000,2741
București,Drumul Taberei,Apartament,87,4,7.0,2013.0,155000,1778
Cluj-Napoca,Mănăștur,Apartament,80,1,4.0,2002.0,136000,1702
Cluj-Napoca,Gheorgheni,Apartament,50,2,7.0,1978.0,107000,2145
Cluj-Napoca,Zorilor,Casă,127,3,,1961.0,302000,2377
București,Băneasa,Apartament,28,3,10.0,2024.0,80000,2860
București,Militari,Apartament,48,4,,2006.0,64000,1331
București,Băneasa,Casă,123,6,,2012.0,349000,2837
București,Ilfov / Voluntari,Apartament,63,4,4.0,1995.0,93000,1476
București,Băneasa,Casă,174,5,,2013.0,418000,2404
Cluj-Napoca,Andrei Mureșanu,Casă,120,4,,1957.0,283000,2362
București,Floreasca,Apartament,62,2,9.0,1995.0,140000,2257
Cluj-Napoca,Mănăștur,Apartament,60,2,8.0,1962.0,94000,1574
București,Floreasca,Casă,203,3,,2020.0,616000,3034
București,Pipera,Apartament,68,1,5.0,2016.0,178000,2619
Cluj-Napoca,Mănăștur,Apartament,52,2,3.0,1952.0,91000,1755
București,Aviației,Apartament,72,1,7.0,1982.0,162000,2256
Cluj-Napoca,Mănăștur,Apartament,49,1,4.0,2005.0,84000,1724
Cluj-Napoca,Andrei Mureșanu,Casă,140,3,,1980.0,415000,2966
București,Pipera,Casă,127,5,,1961.0,254000,2002
București,Berceni,Apartament,49,3,8.0,2004.0,63000,1276
Cluj-Napoca,Florești,Apartament,75,1,10.0,2015.0,159000,2119
București,Ilfov / Voluntari,Casă,119,3,,1968.0,163000,1373
Cluj-Napoca,Bună Ziua,Apartament,58,2,,1971.0,118000,2028
Cluj-Napoca,Mănăștur,Apartament,43,4,5.0,1994.0,77000,1798
București,Victoriei,Apartament,93,2,2.0,2005.0,180000,1931
București,Berceni,Apartament,49,2,4.0,2019.0,77000,1570
București,Dorobanți,Apartament,65,4,4.0,1978.0,149000,2295
București,Drumul Taberei,Apartament,65,4,9.0,1988.0,86000,1324
Cluj-Napoca,Florești,Casă,130,4,,2008.0,255000,1963
București,Pipera,Apartament,104,4,2.0,1999.0,263000,2531
București,Băneasa,Apartament,59,3,,,143000,2421
București,Pipera,Casă,97,5,,2021.0,254000,2618
București,Victoriei,Apartament,28,1,4.0,2014.0,72000,2581
București,Berceni,Apartament,109,1,6.0,1988.0,139000,1272
București,Floreasca,Apartament,76,3,5.0,1997.0,178000,2345
București,Aviației,Apartament,76,2,,1984.0,168000,2215
Cluj-Napoca,Centru,Apartament,50,1,3.0,1990.0,158000,3150
Cluj-Napoca,Centru,Apartament,31,4,5.0,1963.0,94000,3046
Cluj-Napoca,Grigorescu,Apartament,49,2,6.0,1966.0,100000,2042
București,Victoriei,Apartament,71,2,,2013.0,163000,2296
București,Pantelimon,Apartament,67,3,9.0,2021.0,96000,1426
București,Pipera,Casă,147,6,,2022.0,393000,2672
Cluj-Napoca,Dâmbul Rotund,Apartament,63,3,2.0,1982.0,98000,1552
Cluj-Napoca,Bună Ziua,Casă,165,3,,1967.0,316000,1913
Cluj-Napoca,Mănăștur,Apartament,61,2,5.0,2001.0,97000,1583
București,Dorobanți,Apartament,61,3,1.0,1970.0,155000,2539
Cluj-Napoca,Grigorescu,Apartament,76,4,1.0,1960.0,171000,2246
București,Pipera,Casă,102,4,,1983.0,206000,2022
București,Dorobanți,Apartament,58,1,,2001.0,158000,2728
Cluj-Napoca,Borhanci,Casă,141,5,,1997.0,381000,2702
Cluj-Napoca,Borhanci,Casă,89,5,,2022.0,249000,2799
București,Pipera,Apartament,79,3,7.0,2014.0,227000,2869
București,Titan,Apartament,40,1,5.0,2018.0,67000,1676
București,Drumul Taberei,Apartament,115,3,1.0,2008.0,174000,1509
Cluj-Napoca,Bună Ziua,Apartament,64,3,6.0,1977.0,139000,2176
Cluj-Napoca,Borhanci,Casă,127,4,,2005.0,321000,2527
Cluj-Napoca,Andrei Mureșanu,Apartament,94,2,4.0,1996.0,279000,2965
București,Floreasca,Apartament,82,2,1.0,2024.0,223000,2724
București,Pipera,Apartament,91,4,6.0,1961.0,185000,2029
București,Drumul Taberei,Apartament,111,3,,1987.0,137000,1236
Cluj-Napoca,Andrei Mureșanu,Casă,133,6,,1991.0,396000,2981
București,Pipera,Casă,177,5,,1975.0,397000,2243
București,Aviației,Apartament,79,3,6.0,2021.0,225000,2853
București,Dorobanți,Casă,154,5,,2016.0,493000,3200
București,Aviației,Apartament,68,2,8.0,1960.0,135000,1986
Cluj-Napoca,Dâmbul Rotund,Apartament,77,1,,1977.0,111000,1438
București,Pipera,Apartament,88,4,3.0,1976.0,180000,2041
București,Berceni,Apartament,58,1,0.0,2015.0,77000,1336
București,Titan,Apartament,97,2,4.0,2018.0,166000,1712
Cluj-Napoca,Andrei Mureșanu,Casă,228,3,,2005.0,535000,2347
Cluj-Napoca,Gheorgheni,Apartament,68,1,,2002.0,179000,2631
Cluj-Napoca,Grigorescu,Apartament,60,1,3.0,1932.0,121000,2018
Cluj-Napoca,Bună Ziua,Apartament,71,1,1.0,2014.0,190000,2682
Cluj-Napoca,Gheorgheni,Apartament,90,2,9.0,2024.0,237000,2632
București,Floreasca,Casă,148,3,,2015.0,425000,2870
Cluj-Napoca,Dâmbul Rotund,Apartament,96,2,7.0,1971.0,139000,1449
Cluj-Napoca,Borhanci,Casă,151,5,,1999.0,370000,2453
București,Berceni,Apartament,55,1,4.0,1989.0,63000,1140
Cluj-Napoca,Gheorgheni,Apartament,62,3,2.0,1986.0,139000,2244
Cluj-Napoca,Bună Ziua,Apartament,86,3,8.0,1984.0,174000,2024
București,Dorobanți,Apartament,68,3,4.0,2012.0,212000,3123
Cluj-Napoca,Gheorgheni,Apartament,90,2,7.0,2011.0,258000,2866
Cluj-Napoca,Bună Ziua,Casă,227,4,,1980.0,460000,2026
București,Berceni,Apartament,64,2,8.0,1976.0,76000,1195
București,Aviației,Apartament,90,1,8.0,1975.0,191000,2126
București,Pipera,Apartament,68,2,6.0,1979.0,145000,2135
Cluj-Napoca,Dâmbul Rotund,Apartament,43,1,7.0,2013.0,87000,2021
București,Ilfov / Voluntari,Casă,194,4,,2014.0,377000,1944
București,Victoriei,Apartament,28,3,8.0,1976.0,56000,2016
București,Ilfov / Voluntari,Apartament,38,2,5.0,2014.0,68000,1790
București,Berceni,Apartament,94,3,5.0,1997.0,128000,1358
Cluj-Napoca,Andrei Mureșanu,Casă,233,5,,2019.0,1703346,7310
Cluj-Napoca,Gheorgheni,Apartament,86,1,1.0,2000.0,205000,2387
București,Aviației,Apartament,105,1,7.0,1970.0,226000,2152
București,Băneasa,Apartament,33,2,2.0,1965.0,75000,2264
Cluj-Napoca,Grigorescu,Apartament,83,2,9.0,1982.0,166000,1998
București,Băneasa,Casă,128,5,,2010.0,359000,2802
Cluj-Napoca,Gheorgheni,Apartament,76,2,4.0,2021.0,220000,2889
București,Pipera,Apartament,31,3,4.0,1969.0,73000,2346
București,Aviației,Apartament,50,3,10.0,1999.0,110000,2191
București,Drumul Taberei,Apartament,84,3,9.0,1965.0,118000,1399
Cluj-Napoca,Dâmbul Rotund,Apartament,66,2,10.0,1997.0,86000,1303
București,Floreasca,Apartament,64,1,2.0,2020.0,170000,2659
București,Victoriei,Apartament,93,3,3.0,2005.0,189000,2031
Cluj-Napoca,Centru,Apartament,66,4,1.0,1995.0,202000,3062
București,Dorobanți,Apartament,60,3,0.0,1962.0,122000,2032
Cluj-Napoca,Gheorgheni,Apartament,136,3,10.0,2021.0,333000,2446
București,Pipera,Apartament,73,3,6.0,2019.0,175000,2394
București,Dorobanți,Casă,88,4,,1999.0,229000,2597
București,Titan,Apartament,86,3,7.0,1991.0,120000,1392
București,Pantelimon,Apartament,72,2,5.0,1982.0,259652,3606
Cluj-Napoca,Gheorgheni,Apartament,96,1,8.0,1969.0,215000,2244
București,Berceni,Apartament,54,3,3.0,1988.0,67000,1241
